날짜	시간	x좌표	y좌표	온도	최고온도	최저온도	하늘상태	강수상태	날씨한국어	날씨영어	강수확률	12시간예상강수량	12시간예상적설량	풍속	풍향	풍향한국어	풍향영어	습도	6시간예상강수량	6시간예상적설량
2024-09-12	3	55	126	26	29	24	4	0	흐림	Cloudy	30	0	0	1.9	3	남동	SE	90	0	0
2024-09-12	6	55	126	25	29	24	4	0	흐림	Cloudy	30	0	0	1.9	2	동	E	95	0	0
2024-09-12	9	55	126	26	27	-999	4	1	비	Rain	60	0	0	2.4	2	동	E	90	26.7	0
2024-09-12	12	55	126	26	27	-999	4	1	비	Rain	60	0	0	1.8	3	남동	SE	90	6	0
2024-09-12	15	55	126	26	27	-999	4	1	비	Rain	60	0	0	2.9	4	남	S	90	1.6	0
2024-09-12	18	55	126	25	-999	-999	4	1	비	Rain	60	0	0	1.2	2	동	E	90	0.8	0
2024-09-11	3	55	126	24	34	23	1	0	맑음	Clear	0	0	0	1.1	1	북동	NE	90	0	0
2024-09-11	6	55	126	24	34	23	1	0	맑음	Clear	0	0	0	1.2	2	동	E	90	0	0
2024-09-11	9	55	126	29	34	-999	1	0	맑음	Clear	0	0	0	1.2	3	남동	SE	75	0	0
2024-09-11	12	55	126	32	34	-999	1	0	맑음	Clear	0	0	0	2.5	5	남서	SW	60	0	0
2024-09-11	15	55	126	33	34	-999	1	0	맑음	Clear	10	0	0	3	5	남서	SW	55	0	0
2024-09-11	18	55	126	30	-999	-999	4	0	흐림	Cloudy	30	0	0	0.7	6	서	W	70	0	0
2024-09-11	21	55	126	27	-999	-999	4	4	소나기	Shower	60	0	0	1	4	남	S	85	27.5	0
2024-09-11	24	55	126	26	-999	-999	4	0	흐림	Cloudy	30	0	0	1.2	3	남동	SE	90	0	0
2024-09-10	3	55	126	24	32	24	3	0	구름 많음	Mostly Cloudy	20	0	0	1.4	3	남동	SE	90	0	0
2024-09-10	6	55	126	24	32	24	3	0	구름 많음	Mostly Cloudy	20	0	0	1.4	3	남동	SE	95	0	0
2024-09-10	9	55	126	28	33	-999	4	0	흐림	Cloudy	30	0	0	1.8	4	남	S	70	0	0
2024-09-10	12	55	126	31	33	-999	4	0	흐림	Cloudy	30	0	0	2.4	5	남서	SW	65	0	0
2024-09-10	15	55	126	33	33	-999	1	0	맑음	Clear	0	0	0	3.1	6	서	W	65	0	0
2024-09-10	18	55	126	30	-999	-999	1	0	맑음	Clear	0	0	0	2.4	6	서	W	70	0	0
2024-09-10	21	55	126	26	-999	-999	1	0	맑음	Clear	0	0	0	1.1	7	북서	NW	85	0	0
2024-09-10	24	55	126	25	-999	-999	1	0	맑음	Clear	0	0	0	1.1	0	북	N	90	0	0
2024-09-09	18	55	126	29	-999	-999	1	0	맑음	Clear	0	0	0	2	6	서	W	70	0	0
2024-09-09	21	55	126	26	-999	-999	1	0	맑음	Clear	10	0	0	0.7	6	서	W	85	0	0
2024-09-09	24	55	126	25	-999	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	0.5	4	남	S	85	0	0
2024-09-09	3	55	126	24	31	23	4	0	흐림	Cloudy	30	0	0	1	3	남동	SE	90	0	0
2024-09-09	6	55	126	24	31	23	4	0	흐림	Cloudy	30	0	0	1.7	2	동	E	90	0	0
2024-09-09	9	55	126	27	32	-999	4	0	흐림	Cloudy	30	0	0	2.3	3	남동	SE	75	0	0
2024-09-09	12	55	126	30	32	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	2.2	4	남	S	65	0	0
2024-09-09	15	55	126	31	32	-999	1	0	맑음	Clear	0	0	0	1.9	5	남서	SW	60	0	0
2024-09-08	3	55	126	22	31	21	3	0	구름 많음	Mostly Cloudy	20	0	0	0.6	4	남	S	95	0	0
2024-09-08	6	55	126	21	31	21	3	0	구름 많음	Mostly Cloudy	20	0	0	0.6	3	남동	SE	95	0	0
2024-09-08	9	55	126	26	30	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	1.1	3	남동	SE	80	0	0
2024-09-08	12	55	126	29	30	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	1.9	5	남서	SW	60	0	0
2024-09-08	15	55	126	30	30	-999	3	0	구름 많음	Mostly Cloudy	10	0	0	2.9	6	서	W	60	0	0
2024-09-08	18	55	126	27	-999	-999	4	0	흐림	Cloudy	30	0	0	2.5	6	서	W	70	0	0
2024-09-08	21	55	126	24	-999	-999	4	0	흐림	Cloudy	30	0	0	1.1	6	서	W	85	0	0
2024-09-08	24	55	126	23	-999	-999	4	0	흐림	Cloudy	30	0	0	0.4	2	동	E	90	0	0
2024-09-07	3	55	126	22	31	22	3	0	구름 많음	Mostly Cloudy	20	0	0	1.6	2	동	E	90	0	0
2024-09-07	6	55	126	23	31	22	3	0	구름 많음	Mostly Cloudy	20	0	0	0.9	2	동	E	95	0	0
2024-09-07	9	55	126	25	31	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	1.3	3	남동	SE	80	0	0
2024-09-07	12	55	126	28	31	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	1.3	5	남서	SW	70	0	0
2024-09-07	15	55	126	29	31	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	2.6	6	서	W	70	0	0
2024-09-07	18	55	126	27	-999	-999	1	0	맑음	Clear	0	0	0	2.1	6	서	W	70	0	0
2024-09-07	21	55	126	24	-999	-999	1	0	맑음	Clear	0	0	0	1	6	서	W	85	0	0
2024-09-07	24	55	126	23	-999	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	0.7	6	서	W	90	0	0
2024-09-06	3	55	126	23	30	22	4	0	흐림	Cloudy	30	0	0	1.4	0	북	N	90	0	0
2024-09-06	6	55	126	22	30	22	4	0	흐림	Cloudy	30	0	0	0.7	0	북	N	95	0	0
2024-09-06	9	55	126	26	29	-999	4	0	흐림	Cloudy	30	0	0	2.1	2	동	E	80	0	0
2024-09-06	12	55	126	27	29	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	3.4	2	동	E	80	0	0
2024-09-06	15	55	126	28	29	-999	3	4	소나기	Shower	60	0	0	3.4	2	동	E	70	9.9	0
2024-09-06	18	55	126	27	-999	-999	3	4	소나기	Shower	60	0	0	2.7	2	동	E	75	5.5	0
2024-09-06	21	55	126	24	-999	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	2.2	2	동	E	85	0	0
2024-09-06	24	55	126	23	-999	-999	3	0	구름 많음	Mostly Cloudy	20	0	0	1.8	2	동	E	85	0	0
